,catalog_number,object_id,occurrenceID,inst,collectionCode,family,sci_name,sciname,tidinterpreted,event_date,verbatimEventDate,year,startDayOfYear,country,state,county,municipality,locality,latitude,longitue,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,georeferenceRemarks,georeferenceSources,url,order,Budding Prediction,Budding Prediction Confidence,Flowering Prediction,Flowering Prediction Confidence,Fruiting Prediction,Fruiting Prediction Confidence,Reproductive Prediction,Reproductive Prediction Confidence,Reproductive Ground Truth,Fruiting Ground Truth,Flowering Ground Truth,Budding Ground Truth
45,MAINE00042143,2107895,urn:uuid:acce6d3e-663c-420c-b7d4-5bec0c70cb68,,MAINE,Saxifragaceae,Tiarella cordifolia L. var. cordifolia,Tiarella cordifolia var. cordifolia,841964.0,16/7/1953,1953-7-16,1953.0,197.0,United States of America,Maine,Franklin,New Vineyard,Pratt Mt.,44.80532,-70.11216,WGS84,9144.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-cB6puYdAKjvbsoosddrfED,__Other,False,0.980632185935974,False,0.6377758383750916,True,0.896973729133606,True,0.9779468178749084,,,,
46,CONN00166606,868840,urn:catalog:UConn:CONN:CONN00166606,,CONN,Saxifragaceae,Tiarella cordifolia L.,Tiarella cordifolia,833564.0,30/5/1988,30-May-88,1988.0,151.0,United States of America,Connecticut,Litchfield,Norfolk,"Campbell Falls State Park, Norfolk",42.0425,-73.225,,20000.0,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00166606.jpg,__Other,False,0.6071643829345703,True,0.9999897480010986,False,0.5355092287063599,True,0.9999762773513794,,,,
47,MAINE00045242,2110863,urn:uuid:790a6ea9-acfb-4869-9f8e-1805e576316f,,MAINE,Saxifragaceae,Tiarella cordifolia L. var. cordifolia,Tiarella cordifolia var. cordifolia,841964.0,27/7/1949,1949-7-27,1949.0,208.0,United States of America,Maine,Waldo,Freedom,e. side Beaver Ridge,44.49863,-69.34707,WGS84,6050.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-vwduA3Hm3FSpwtq93Ay8vK,__Other,False,0.7753944396972656,False,0.9800554513931274,True,0.9009389281272888,True,0.9381330013275146,,,,
48,CONN00166604,868838,urn:catalog:UConn:CONN:CONN00166604,,CONN,Saxifragaceae,Tiarella cordifolia L.,Tiarella cordifolia,833564.0,19/6/1992,19-Jun-92,1992.0,171.0,United States of America,Connecticut,Tolland,Union,Union,41.99083,-72.15722,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00166604.jpg,__Other,False,0.9191604852676392,False,0.982283890247345,True,0.5658977031707764,True,0.9368680715560912,,,,
49,MAINE00045246,2110867,urn:uuid:4c78fed1-5888-421a-865c-b2641ed3e807,,MAINE,Saxifragaceae,Tiarella cordifolia L. var. cordifolia,Tiarella cordifolia var. cordifolia,841964.0,3/7/1942,1942-7-3,1942.0,184.0,United States of America,Maine,Waldo,Frankfort,Between Mt. Waldo and Mack Mt.,44.59838,-68.9216,WGS84,5835.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-ts8BnZQdKebeXZv37yS3Ji,__Other,False,0.9992903470993042,False,0.9646975994110109,True,0.7418134808540344,True,0.9805744886398317,,,,
50,MAINE00036060,2102326,urn:uuid:cef7cf32-9669-4813-b1d3-e3985994ebb3,,MAINE,Hamamelidaceae,Hamamelis virginiana L.,Hamamelis virginiana,824065.0,4/8/1938,1938-8-4,1938.0,216.0,United States of America,Maine,Piscataquis,T3R11,Ripogenus Gorge,,,,,,,,https://bisque.cyverse.org/image_service/00-zGeMKgwjkup4rorcNjtJEJ,__Other,True,0.9371033310890198,True,0.6180343627929688,True,0.9993430972099304,True,0.9998083710670472,,,,
51,UVMVT109833,932029,urn:uuid:f961be5c-b363-434e-b1ed-e9c3c0d9a3ab,,,Hamamelidaceae,,Hamamelis virginiana,824065.0,14/7/1878,1878-7-14,1878.0,195.0,United States of America,Vermont,,Middlebury,,44.0044,-73.12177,WGS84,7477.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-MswrXtL5cWNspCpATLkCdd,__Other,True,0.9131228923797609,True,0.9658201932907104,False,0.6302266716957092,True,0.9998927116394044,,,,
52,2515259,1901717,b4cf488b-d670-44ec-ac65-4fc42c5b3ae4,NY,NY,Hamamelidaceae,Hamamelis virginiana L.,Hamamelis virginiana,824065.0,22/7/1910,22 Jul 1910,1910.0,203.0,United States of America,New York,,,"vicinity of Highland Falls, in the Hudson Highlands",41.3693,-73.96625,WGS84,2441.0,GEOLocate Web Application,Georeferenced to the city of Highland Falls.,GEOLocate (Tulane University Museum of Natural History),http://sweetgum.nybg.org/images3/1967/360/02515259.jpg,__Other,True,0.961377739906311,False,0.6731570363044739,True,0.9931908249855042,True,0.999929428100586,,,,
53,UVMVT069038,930422,urn:uuid:ff7393e9-c8e3-40e5-b791-c5aadc074b2c,,,Hamamelidaceae,,Hamamelis virginiana,824065.0,0/0/0,,,,United States of America,Vermont,,Brattleboro,,42.86187,-72.61441,WGS84,7658.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-SxM4PzQimyEHr5dA5J3SK7,__Other,False,0.6304875612258911,False,0.9992225170135498,False,0.7721028327941895,True,0.9398281574249268,,,,
54,UVMVT069043,930419,urn:uuid:d16d64de-df40-452b-969a-fdb20ba5e4e8,,,Hamamelidaceae,,Hamamelis virginiana,824065.0,0/0/0,,,,United States of America,Vermont,,Brandon,,43.79975,-73.08017,WGS84,7790.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-5Ehn4yJS7UQ48GPAm9JPZY,__Other,False,0.7747174501419067,False,0.9835216999053956,True,0.995129942893982,True,0.9996514320373536,,,,
55,CONN00018749,51346,urn:catalog:UConn:CONN:CONN00018749,,CONN,Fagaceae,Quercus velutina Lam.,Quercus velutina,830584.0,6/11/1924,6 Nov 1924,1924.0,311.0,United States of America,Connecticut,Tolland,"Mansfield, Storrs",University of Connecticut,41.80916,-72.25416,,20000.0,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00018749.JPG,Fagales,False,0.7825369238853455,True,0.817695677280426,True,0.8642241358757019,True,0.999739944934845,,,,
56,KIRI-05825,1292279,,,KIRI,Fagaceae,,Quercus macrocarpa,830545.0,9/10/1939,,1939.0,282.0,United States of America,New York,,,,,,,,,,,https://bisque.cyverse.org/image_service/00-JwP9eqrLdVuBWZSmeNJ3F7,Fagales,False,0.9938063621520996,False,0.9995716214179992,False,0.9925292134284972,True,0.7112271189689636,,,,
57,1844502,1889511,8caa2f50-1f7a-485b-8308-8969d7aad2e0,NY,NY,Fagaceae,Quercus rubra L.,Quercus rubra,830569.0,22/4/1987,22 Apr 87,1987.0,112.0,United States of America,New York,Bronx,New York City,"Grounds of The New York Botanical Garden, Forest Grid Number 136",40.8631,-73.874128,,,Google Earth,"Collection locality georeferenced using Google Earth, accurate to the nearest 1""""",label,http://sweetgum.nybg.org/images3/1504/778/01844502.jpg,Fagales,True,0.7173091173171997,True,0.7386612296104431,False,0.9972033500671388,True,0.9937655925750732,,,,
58,MAINE00000294,1213292,urn:uuid:b3f33a9f-6bd6-46b1-8767-83fd616675ff,,MAINE,Fagaceae,Quercus macrocarpa Michx.,Quercus macrocarpa,830545.0,9/9/1977,1977-9-9,1977.0,252.0,United States of America,Maine,Kennebec,Albion,"on rich bottomland of Fifteenmile Stream, Pratt's farm",44.51701,-69.44123,WGS84,7581.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://api.idigbio.org/v2/media/ffb80370b6552d52c80e24125ec52f68,Fagales,False,0.986835479736328,False,0.97578763961792,False,0.6722655892372131,False,0.6593189835548401,,,,
59,PBRU00004633,1314823,8700335a-2a35-4115-8caa-c55bb41d3940,Brown,,Fagaceae,Quercus macrocarpa,Quercus macrocarpa,830545.0,,,,,United States of America,New York,Yates County,Penn Yan,,,,,,,,,https://repository.library.brown.edu/iiif/image/bdr:395174/full/full/0/default.jpg,Fagales,False,0.9988860487937928,False,0.9994157552719116,False,0.8658251762390137,False,0.9511836171150208,,,,
60,CONN00091582,34142,urn:catalog:UConn:CONN:CONN00091582,,CONN,Clethraceae,Clethra alnifolia L.,Clethra alnifolia,820149.0,1/8/1987,1 Aug 1987,1987.0,213.0,United States of America,Connecticut,New London,Groton,Pequot Woods Town Park,41.36527,-71.9875,,3000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00091582.jpg,__Other,True,0.8764953017234802,True,0.9999614953994752,False,0.7576120495796204,True,0.999932050704956,,,,
61,CONN00098651,20898,urn:catalog:UConn:CONN:CONN00098651,,CONN,Clethraceae,Clethra alnifolia L.,Clethra alnifolia,820149.0,28/7/1993,28-Jul-93,1993.0,209.0,United States of America,Massachusetts,Plymouth,Kingston,Kingston,41.98333,-70.74166,,,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00098651.jpg,__Other,False,0.5672796368598938,True,0.9963191747665404,True,0.6346092224121094,True,0.9997356534004213,,,,
62,CONN00147250,359604,urn:catalog:UConn:CONN:CONN00147250,,CONN,Clethraceae,Clethra alnifolia L.,Clethra alnifolia,820149.0,27/7/1981,27-Jul-81,1981.0,208.0,United States of America,Connecticut,New London,Griswold,Griswold,41.58388,-71.92138,,5000.0,,,2006. Google Earth. © Google Earth.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00147250.jpg,__Other,True,0.9758719801902772,True,0.9974512457847596,False,0.9520471096038818,True,0.9998989105224608,,,,
63,5803,2144474,,,,Clethraceae,Clethra alnifolia L.,Clethra alnifolia,820149.0,30/8/1972,30-Aug-72,1972.0,243.0,United States of America,New York,Suffolk,,"Dump site off Brookhaven Ave. and First St., sand, shade. Brookhaven National Laboratory, Upton, Suffolk County, New York. (flower white, fragrant)",,,,,,,,https://herbarium.yale.edu/images/MBL/Vascular/Vascular_export/5422_11506_Enlargement.jpg,__Other,True,0.5941101312637329,True,0.9977311491966248,True,0.9732385873794556,True,0.999369204044342,,,,
64,00313098,2003241,c3e83642-a7df-467f-8c28-058eb2b21bb9,University of Massachusetts,MASS,Clethraceae,Clethra alnifolia L.,Clethra alnifolia,820149.0,,,,,unknown,,,,Not Given,,,,,,,,https://bisque.cyverse.org/image_service/00-WopFv74c4KhQeqmUwNE4ta,__Other,True,0.9959059953689576,True,0.9999302625656128,False,0.9753801822662354,True,0.9991686344146729,,,,
65,2501126,1846895,16122607-1d37-4d24-bb2a-d5e74ee6e001,NY,NY,Oleaceae,Fraxinus pennsylvanica var. pennsylvanica,Fraxinus pennsylvanica var. pennsylvanica,,18/6/2004,18 Jun 2004,2004.0,170.0,United States of America,New York,Orange,Newburgh,South of Interstate 84 behind Howard Johnson's Motel,,,,,,,,http://sweetgum.nybg.org/images3/1944/201/02501126.jpg,Lamiales,False,0.9254206418991088,False,0.9964336156845092,True,0.9895156621932985,True,0.9413886666297911,,,,
66,barcode-01076802,1165830,b4169528-1859-11e6-b5e0-001ec9fd629b,NEBC,,Oleaceae,Fraxinus pennsylvanica Marshall,Fraxinus pennsylvanica,823390.0,14/9/1909,"Sept. 14, 1909",1909.0,257.0,United States of America,Vermont,,,Swanton,,,,,,,,https://bisque.cyverse.org/image_service/00-BUxmKogtujSfFhRbEEPe96,Lamiales,False,0.9770604372024536,False,0.9974621534347534,True,0.998789608478546,True,0.9960009455680848,,,,
67,CONN00127629,361786,urn:catalog:UConn:CONN:CONN00127629,,CONN,Oleaceae,Fraxinus americana L.,Fraxinus americana,823378.0,24/5/1995,24-May-95,1995.0,144.0,United States of America,Connecticut,New Haven,Southbury,Platt Park,41.47611,-73.23694,,3000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00127629.jpg,Lamiales,False,0.9843972325325012,False,0.9251373410224916,False,0.9075323343276978,False,0.9390004873275756,,,,
68,CONN00140826,355987,urn:catalog:UConn:CONN:CONN00140826,,CONN,Oleaceae,Fraxinus americana L.,Fraxinus americana,823378.0,22/4/1981,22-Apr-81,1981.0,112.0,United States of America,Connecticut,New Haven,West Rock,"West Rock, New Haven",41.33833,-72.96083,,1000.0,,,2006. Google Earth. © Google Earth.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00140826.jpg,Lamiales,False,0.985284149646759,True,0.9964300990104676,False,0.9006089568138123,True,0.9999630451202391,,,,
69,CONN00127704,361813,urn:catalog:UConn:CONN:CONN00127704,,CONN,Oleaceae,Fraxinus americana L.,Fraxinus americana,823378.0,5/7/1972,5 Jul 1972,1972.0,187.0,Canada,Quebec,Rimouski,Bic,Rivière du Sud-Ouest,48.35,-68.76666,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00127704.jpg,Lamiales,False,0.9550125598907472,False,0.9079892039299012,True,0.6472545266151428,True,0.9700157642364502,,,,
70,CONN00064182,70095,urn:catalog:UConn:CONN:CONN00064182,,CONN,Nymphaeaceae,Nuphar variegata Engelm. ex Durand in Clinton,Nuphar variegata,855155.0,1/8/2005,1 Aug 2005,2005.0,213.0,United States of America,Connecticut,Windham,Eastford,Hall's Pond,41.84398,-72.11136,,2000.0,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00064182.jpg,__Other,False,0.999545156955719,True,0.9131134748458862,True,0.9668602347373962,True,0.995441436767578,,,,
71,CONN00054997,65768,urn:catalog:UConn:CONN:CONN00054997,,CONN,Nymphaeaceae,Nuphar pumila (Timm) DC.,Nuphar rubrodisca,855153.0,20/8/1986,20-Aug-86,1986.0,232.0,United States of America,Connecticut,Fairfield,Stamford,The Nature Conservancy Altschul Preserve,41.10916,-73.58444,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00054997.jpg,__Other,False,0.6614137887954712,True,0.992510199546814,False,0.9013190269470216,True,0.9999961853027344,,,,
72,MAINE00028098,2095215,urn:uuid:fe4925ae-2a9e-43d4-92fd-a0995d047126,,MAINE,Nymphaeaceae,Nuphar variegata Dur.,Nuphar variegata,855155.0,15/7/1913,1913-7-15,1913.0,196.0,United States of America,Maine,Oxford,Greenwood,Locke Mills,44.33661,-70.67385,WGS84,8765.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-puBxkwLcXWgAAjG2NEe5vW,__Other,False,0.9491462707519532,False,0.8445755243301392,False,0.5997735261917114,True,0.8340234756469727,,,,
73,CONN00063835,69847,urn:catalog:UConn:CONN:CONN00063835,,CONN,Nymphaeaceae,Nymphaea odorata Aiton ssp. odorata Aiton,Nymphaea odorata,827838.0,27/7/2005,27-Jul-05,2005.0,208.0,United States of America,Connecticut,Hartford,Enfield,Crescent Lake,41.02671,-72.51971,,1000.0,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00063835.jpg,__Other,False,0.9924896359443665,True,0.909946858882904,False,0.9852516651153564,True,0.850109875202179,,,,
74,CONN00049803,64050,urn:catalog:UConn:CONN:CONN00049803,,CONN,Nymphaeaceae,Nymphaea odorata Aiton ssp. odorata Aiton,Nymphaea odorata,827838.0,23/7/1974,23-Jul-74,1974.0,204.0,United States of America,Connecticut,New London,Voluntown,Voluntown,41.58194,-71.83222,,5000.0,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00049803.jpg,__Other,False,0.9676150679588318,False,0.9971321821212769,False,0.9186077117919922,True,0.994292974472046,,,,
75,00323263,2034383,89f17c17-a950-4ad8-9765-e912b96b5e75,University of Massachusetts,MASS,Caprifoliaceae,Diervilla lonicera Mill.,Diervilla lonicera,821615.0,15/6/1990,,1990.0,166.0,United States of America,Massachusetts,Berkshire,Florada,,,,,,,,,https://bisque.cyverse.org/image_service/00-vVer8rATAdReRn7ahdhgbf,Dipsacales,False,0.9969671368598938,True,0.9995259046554564,False,0.8090868592262268,True,0.9996788501739502,,,,
76,CONN00089849,33387,urn:catalog:UConn:CONN:CONN00089849,,CONN,Caprifoliaceae,Lonicera canadensis Bartram,Lonicera canadensis,826281.0,10/5/1937,10-May-37,1937.0,130.0,United States of America,Connecticut,New London,Lyme,Lyme,41.3975,-72.34666,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00089849.jpg,Dipsacales,False,0.8044002056121826,False,0.9850528836250304,False,0.9668344855308532,False,0.7802512645721436,,,,
77,NHA-521056,696385,urn:uuid:54343095-2978-4b12-86e6-8b23dd2fb0c3,University of New Hampshire,NHA,Caprifoliaceae,Lonicera morrowii Gray,Lonicera morrowii,826296.0,22/5/1989,,1989.0,,United States of America,Massachusetts,Berkshire,Great Barrington,,42.21099,-73.34158,WGS84,9543.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-bLgr66DF7p5GeYax7iiVRD,Dipsacales,True,0.8900530934333801,True,0.9997300505638124,False,0.9574528336524964,True,0.999910831451416,,,,
78,2435181,1877822,65ee1baa-c198-45c7-b18b-776a4e081b08,NY,NY,Caprifoliaceae,Diervilla lonicera Mill.,Diervilla lonicera,821615.0,17/6/1998,6/17/98,1998.0,168.0,United States of America,New York,Tioga,Apalachin,,,,,,,,,http://sweetgum.nybg.org/images3/1999/710/02435181.jpg,Dipsacales,True,0.7892275452613831,True,0.9779585599899292,False,0.8434574604034424,True,0.994510054588318,,,,
79,1400706,1846373,144a125b-ad5c-4007-a28e-ca857d888aa6,NY,NY,Caprifoliaceae,Lonicera morrowii A.Gray,Lonicera morrowii,826296.0,15/5/2011,15 May 2011,2011.0,135.0,United States of America,Pennsylvania,Monroe,,"1.2 air km E of Saylorsburg, between Route 33 and Cherry Valley Road.",40.8962,-75.309522,,,GPS,"40.896241N, 75.309521W (±50m)",,http://sweetgum.nybg.org/images3/2031/768/01400706.jpg,Dipsacales,True,0.5292951464653015,True,0.9912887811660768,False,0.9987311959266664,True,0.9999587535858154,,,,
80,372961,2070199,39894512-447f-49bf-a8ae-02a07efbeaea,University of Massachusetts,MASS,Hypericaceae,Hypericum mutilum L.,Hypericum mutilum,824758.0,22/9/1913,,1913.0,265.0,United States of America,Massachusetts,Hampden,Granville,,42.0746397,-72.8614845,,5650.0,,,,https://bisque.cyverse.org/image_service/00-qw9vMua3RqLyB26qcEWXKQ,__Other,False,0.9499704837799072,True,0.940125584602356,False,0.7464001178741455,True,0.9992744326591492,,,,
81,PBRU00015451,1301712,c3a7792b-da8b-4859-885d-564a7683657a,Brown,,Hypericaceae,Hypericum mutilum,Hypericum mutilum,824758.0,7/10/1914,,1914.0,280.0,United States of America,Rhode Island,Providence County,Cumberland,Diamond Hill - brook off pine grove,,,,,,,,https://repository.library.brown.edu/iiif/image/bdr:411010/full/full/0/default.jpg,__Other,True,0.5014095306396484,False,0.6739673614501953,True,0.9510051608085632,True,0.998933970928192,,,,
82,barcode-00629118,802925,b2523ad8-1c9e-48a0-9caa-020eaeffca25,NEBC,,Hypericaceae,Hypericum mutilum Linnaeus,Hypericum mutilum,824758.0,10/8/1921,10 Aug. 1921,1921.0,222.0,United States of America,Rhode Island,Providence County,North Providence,North Providence,41.86158,-71.45751,WGS84,3504.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Municipalities; s44btp88 vector digital data, 1989-07; RIGIS, Providence, Rhode Island (http://www.edc.uri.edu/rigis).",https://bisque.cyverse.org/image_service/00-SHZpKfKaJiTuAvKEo8fMUf,__Other,True,0.5463661551475525,True,0.8188797831535339,True,0.9899519085884094,True,0.9997065663337708,,,,
83,barcode-00774620,802766,20caccae-841b-4037-b649-0e33c2d9cc6b,NEBC,,Hypericaceae,Hypericum mutilum Linnaeus,Hypericum mutilum,824758.0,4/10/1959,4 Oct. 1959,1959.0,277.0,United States of America,New Hampshire,Rockingham County,Atkinson,Atkinson,42.83705,-71.16051,WGS84,4712.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"New Hampshire Political Boundaries at 1:24,000 Scale vector digital data, 1992-01-01 (ending date 2013-04-11); Complex Systems Research Center, University of New Hampshire, Durham, New Hampshire (http://www.granit.sr.unh.edu).",https://bisque.cyverse.org/image_service/00-3PGRSBwqBLKRNzfLUMJEr8,__Other,False,0.9161304235458374,True,0.5776236057281494,False,0.8305708765983582,True,0.9853510856628418,,,,
84,barcode-00774617,802763,2c246a26-f613-4418-8a2c-a0375a5428c5,NEBC,,Hypericaceae,Hypericum mutilum Linnaeus,Hypericum mutilum,824758.0,0/0/0,August 1901,1901.0,,United States of America,New Hampshire,Merrimack County,Hopkinton,Hopkinton,43.19791,-71.69674,WGS84,8454.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"New Hampshire Political Boundaries at 1:24,000 Scale vector digital data, 1992-01-01 (ending date 2013-04-11); Complex Systems Research Center, University of New Hampshire, Durham, New Hampshire (http://www.granit.sr.unh.edu).",https://bisque.cyverse.org/image_service/00-RvimxmNwyDBgSdh4tRUDFH,__Other,True,0.6342977285385132,True,0.9359135627746582,False,0.9021162986755372,True,0.7704334855079651,,,,
85,WSCH009774,1426743,,,WSCH,Poaceae,Elymus canadensis L.,Elymus canadensis,822139.0,14/9/1979,,1979.0,257.0,United States of America,Massachusetts,Hampshire,Montague,,42.55488,-72.5177,WGS84,7093.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-zypR3imffnqknEQFM7cgKh,__Other,False,0.7911513447761536,False,0.8493123650550842,False,0.6707309484481812,True,0.6396843194961548,,,,
86,barcode-00868123,1274048,cd7f3c2e-1b09-11e6-b5e0-001ec9fd629b,NEBC,,Poaceae,Elymus canadensis Linnaeus,Elymus canadensis,822139.0,30/7/1915,"July 30, 1915",1915.0,211.0,United States of America,Massachusetts,Plymouth County,Plymouth,Plymouth,41.88585,-70.63574,WGS84,14341.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-MTxjqMQe4L7KfUWMxEPqqH,__Other,True,0.6226485967636108,True,0.5049214959144592,False,0.7839637398719788,True,0.9577847123146056,,,,
87,PBRU00026524,1323124,2757b008-1839-4228-b9d4-13d62702663c,Brown,,Poaceae,Elymus canadensis,Elymus canadensis,822139.0,8/9/1951,,1951.0,251.0,United States of America,Minnesota,,,"Cotton Lake, roadside.",,,,,,,,https://repository.library.brown.edu/iiif/image/bdr:704365/full/full/0/default.jpg,__Other,False,0.6610596776008606,True,0.9776912927627563,False,0.7942173480987549,True,0.888950765132904,,,,
88,barcode-00817093,1274119,11ba3fb4-1b0b-11e6-b5e0-001ec9fd629b,NEBC,,Poaceae,Elymus canadensis Linnaeus,Elymus canadensis,822139.0,11/8/1909,"Aug. 11th, 1909",1909.0,223.0,United States of America,Connecticut,New Haven County,Orange,Orange,41.28262,-73.02717,WGS84,5158.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Connecticut Town Boundary vector digital data (CONNECTICUT_TOWN_BOUNDARY.shp), 2005 edition; State of Connecticut, Department of Environmental Protection, Hartford, CT (http://www.ct.gov/deep).",https://bisque.cyverse.org/image_service/00-98vmN4xmwyaNCyoDWghsDB,__Other,False,0.7995339035987854,False,0.5712347626686096,True,0.5960150361061096,True,0.9625415205955504,,,,
89,1654329,1863187,3620370c-2805-45ba-bd77-cfd7673ef37f,NY,NY,Poaceae,Elymus canadensis L.,Elymus canadensis,822139.0,16/8/1907,1907-8-16,1907.0,228.0,United States of America,New Hampshire,,,"Near Bottomless Pit, between Hanover and Lebanon",,,,,,,,http://sweetgum.nybg.org/images3/822/995/1654329.jpg,__Other,False,0.5340873599052429,False,0.9774903655052184,False,0.8205431699752808,True,0.7843080163002014,,,,
90,CONN00099832,12148,urn:catalog:UConn:CONN:CONN00099832,,CONN,Cornaceae,Cornus amomum Mill.,Cornus amomum,820401.0,4/9/1899,4 Sep 1899,1899.0,247.0,United States of America,Maine,Somerset,Fairfield,Fairfield,44.63722,-69.67,,,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00099832.jpg,Cornales,False,0.9397811889648438,False,0.9995059967041016,True,0.9513452053070068,True,0.9770659804344176,,,,
